"","diff","lwr","upr","p adj"
"Vehicle:AS Iso1-Topotecan:AS Iso1",0.936464870459122,0.449369148691913,1.42356059222633,0.000118490114553227
"Topotecan:AS Iso3-Topotecan:AS Iso1",-0.0189966520766489,-0.506092373843858,0.46809906969056,0.999999932643843
"Vehicle:AS Iso3-Topotecan:AS Iso1",0.936464870459123,0.449369148691914,1.42356059222633,0.000118490114553227
"Topotecan:Iso4-Topotecan:AS Iso1",0.0273403132381768,-0.459755408529032,0.514436035005386,0.999999155851274
"Vehicle:Iso4-Topotecan:AS Iso1",0.936464870459122,0.449369148691913,1.42356059222633,0.000118490114553227
"Topotecan:YFP-Topotecan:AS Iso1",1.71459691816977,1.22750119640256,2.20169263993698,3.84413652021465e-08
"Vehicle:YFP-Topotecan:AS Iso1",0.936464870459122,0.449369148691913,1.42356059222633,0.000118490114553227
"Topotecan:AS Iso3-Vehicle:AS Iso1",-0.955461522535771,-1.44255724430298,-0.468365800768562,9.34830831653688e-05
"Vehicle:AS Iso3-Vehicle:AS Iso1",4.44089209850063e-16,-0.487095721767209,0.487095721767209,1
"Topotecan:Iso4-Vehicle:AS Iso1",-0.909124557220946,-1.39622027898815,-0.422028835453736,0.00016730740839821
"Vehicle:Iso4-Vehicle:AS Iso1",-2.22044604925031e-16,-0.487095721767209,0.487095721767209,1
"Topotecan:YFP-Vehicle:AS Iso1",0.778132047710646,0.291036325943437,1.26522776947786,0.000927371750937156
"Vehicle:YFP-Vehicle:AS Iso1",0,-0.487095721767209,0.487095721767209,1
"Vehicle:AS Iso3-Topotecan:AS Iso3",0.955461522535772,0.468365800768563,1.44255724430298,9.34830831653688e-05
"Topotecan:Iso4-Topotecan:AS Iso3",0.0463369653148257,-0.440758756452383,0.533432687082035,0.999968482664696
"Vehicle:Iso4-Topotecan:AS Iso3",0.955461522535771,0.468365800768562,1.44255724430298,9.34830831653688e-05
"Topotecan:YFP-Topotecan:AS Iso3",1.73359357024642,1.24649784847921,2.22068929201363,3.28020310913502e-08
"Vehicle:YFP-Topotecan:AS Iso3",0.955461522535771,0.468365800768562,1.44255724430298,9.34830831653688e-05
"Topotecan:Iso4-Vehicle:AS Iso3",-0.909124557220946,-1.39622027898816,-0.422028835453737,0.00016730740839821
"Vehicle:Iso4-Vehicle:AS Iso3",-6.66133814775094e-16,-0.48709572176721,0.487095721767208,1
"Topotecan:YFP-Vehicle:AS Iso3",0.778132047710646,0.291036325943437,1.26522776947786,0.000927371750937045
"Vehicle:YFP-Vehicle:AS Iso3",-4.44089209850063e-16,-0.487095721767209,0.487095721767209,1
"Vehicle:Iso4-Topotecan:Iso4",0.909124557220945,0.422028835453736,1.39622027898815,0.00016730740839821
"Topotecan:YFP-Topotecan:Iso4",1.68725660493159,1.20016088316438,2.1743523266988,4.84333210204468e-08
"Vehicle:YFP-Topotecan:Iso4",0.909124557220946,0.422028835453736,1.39622027898815,0.00016730740839821
"Topotecan:YFP-Vehicle:Iso4",0.778132047710647,0.291036325943438,1.26522776947786,0.000927371750937156
"Vehicle:YFP-Vehicle:Iso4",2.22044604925031e-16,-0.487095721767209,0.487095721767209,1
"Vehicle:YFP-Topotecan:YFP",-0.778132047710646,-1.26522776947786,-0.291036325943437,0.000927371750937156
